jam_criteria,jam_end_date,jam_host,jam_name,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url
,2016-12-12 21:00:00,QaziTV,QaziJam 9 - Game Jam For Good,77,0,40,2016-12-09 20:00:00,https://www.itch.io/jam/qazijam9
,2019-04-18 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 92,77,0,23,2019-04-12 17:00:00,https://www.itch.io/jam/weekly-game-jam-92
"Overall||Creativity||Programming||Controls||Aesthetics (Graphics, Sound, Environment)",2019-05-15 07:00:00,xudz,The Godot 2MB Challenge,76,62,12,2019-04-15 07:00:00,https://www.itch.io/jam/godot2mb
,2018-09-02 03:59:59,Alte,Summer Novel Festival,78,0,9,2018-07-01 04:00:00,https://www.itch.io/jam/sunofes18
,2015-12-14 04:59:59,Spencer Winson||DINOSAURSSSSSSSS||zerofiftyone,Winter Wizard Jam,78,0,30,2015-11-28 05:00:00,https://www.itch.io/jam/winter-wizard-jam
Overall||Relevance to the Theme||Creativity||Gameplay||Visual Experience||Audio Experience,2018-07-23 06:00:00,artsybarrels,Bored Pixels Jam,76,207,21,2018-07-16 06:00:00,https://www.itch.io/jam/bored-pixels-jam
,2016-07-31 21:00:00,SquareDev,AGDG Space Jam,78,0,19,2016-07-14 21:00:00,https://www.itch.io/jam/agdg-space-jam
,2018-06-24 22:59:59,zerofiftyone,Wizard Jam 7,78,0,23,2018-06-07 23:00:00,https://www.itch.io/jam/wizard-jam-7
Overall||How is the gameplay?||How is the artwork?||How is the story and the  writing style?,2018-11-01 21:00:00,Hana H.A,Otome games jam,76,42,7,2018-08-14 21:00:00,https://www.itch.io/jam/otome-games-jam
,2018-02-12 08:00:00,coralgorithms,bubblegum jam,78,0,21,2018-01-31 08:00:00,https://www.itch.io/jam/bubblegum
,2019-09-03 21:00:00,Alte,Summer Novel Festival,79,0,5,2019-07-01 12:00:00,https://www.itch.io/jam/sunofes19
Overall||Fun||Creativity||Polish||Theme,2017-03-27 00:00:00,ViolentCrumble,GDL  March Madness Jam,77,138,16,2017-03-24 00:00:00,https://www.itch.io/jam/gdl-march-madness-jam
,2019-01-03 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 77,79,0,17,2018-12-28 17:00:00,https://www.itch.io/jam/weekly-game-jam-77
,2019-05-02 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 94,79,0,16,2019-04-26 17:00:00,https://www.itch.io/jam/weekly-game-jam-94
,2018-04-02 06:59:59,Adam Le Doux,Archaeology (Bitsy Jam),79,0,42,2018-03-23 07:00:00,https://www.itch.io/jam/archaeology-bitsy
,2019-06-23 17:30:00,Blaiharl||CyrilleFrouin||Théo Gros,42 Jam,80,0,23,2019-06-21 17:00:00,https://www.itch.io/jam/42-jam
Overall||Most Creative||Original||Sticks Most To Theme||Completely Doesn't follow rules what-so-ever!,2018-09-01 04:59:59,Warfare Ridge,Anything Goes Jam,78,10,42,2018-06-01 05:00:00,https://www.itch.io/jam/anything-goes-jam
,2017-12-04 07:59:59,Adam Le Doux,Bric-A-Brac (Bitsy Jam),80,0,29,2017-11-25 08:00:00,https://www.itch.io/jam/bric-a-brac
,2017-02-13 06:00:00,Team Dogpit||redstapler42,Games vs Nazis,80,0,24,2017-02-06 06:00:00,https://www.itch.io/jam/games-vs-nazis
Overall||Fun||Creativity||Polish||Theme,2019-07-29 00:00:00,ViolentCrumble,GDL - July Jam,78,272,18,2019-07-26 00:00:00,https://www.itch.io/jam/gdl-july-jam-2
Creativity||Playability||Enjoyabiity,2019-03-16 02:00:00,RhoneRanger,Polyrealm Game Jam,78,59,8,2019-03-02 00:00:00,https://www.itch.io/jam/polyrealm-game-jam
,2017-11-26 08:00:00,jmas,polar bear jam,80,0,17,2017-11-23 08:00:00,https://www.itch.io/jam/polar-bear-jam
,2019-09-08 21:59:00,Tiltspot.tv,🛋️ Couch CO-OP Game Jam,80,0,4,2019-07-15 11:37:00,https://www.itch.io/jam/couch-co-op
,2018-06-04 06:59:59,Adam Le Doux,Ocean (Bitsy Jam),80,0,34,2018-05-26 07:00:00,https://www.itch.io/jam/ocean-bitsy
,2019-03-17 05:00:00,Riverhouse Games,Short Rest,81,0,33,2019-02-17 06:00:00,https://www.itch.io/jam/short-rest
Overall||Relevance to the Theme||Creativity||Gameplay||Visual Experience||Audio Experience,2019-07-22 02:00:00,artsybarrels,Bored Pixels Jam 5,79,165,16,2019-07-15 02:00:00,https://www.itch.io/jam/bored-pixels-jam-5
,2018-06-21 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 49,81,0,24,2018-06-15 17:00:00,https://www.itch.io/jam/weekly-game-jam-49
Overall||Relevance To Theme||Creativity||OLC Judges Award,2018-11-23 20:00:00,javidx9,OLC CODEJAM 2018,79,118,18,2018-11-16 20:00:00,https://www.itch.io/jam/olc-codejam-2018
,2018-12-03 04:59:59,Adam Le Doux,Ghost (Bitsy Jam),81,0,43,2018-11-24 05:00:00,https://www.itch.io/jam/ghost-bitsy
,2019-05-20 04:00:01,World Champ Game Co.||erinking,Dog Jam 2k19,81,0,11,2019-04-20 04:00:00,https://www.itch.io/jam/dogjam2k19
,2019-02-07 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 82,81,0,19,2019-02-01 17:00:00,https://www.itch.io/jam/weekly-game-jam-82
Overall||Was there a corgi?||Did you have fun?,2016-12-19 04:59:59,anonyanony,Merry #Corgsmas Corgi Game Jam,80,59,9,2016-12-16 04:59:59,https://www.itch.io/jam/corgsmas
,2017-06-30 20:21:00,cynicalmonkey,Grow Jam,81,0,15,2017-06-21 03:43:00,https://www.itch.io/jam/grow-jam-2017
,2017-02-28 04:00:00,Laura Michet||catacalypto,Utopia Jam,82,0,10,2017-02-11 20:00:00,https://www.itch.io/jam/utopia-jam
Vote for your favorite,2019-09-06 05:00:00,Highland Paranormal Society,Goon Jam,80,806,63,2019-08-09 05:00:00,https://www.itch.io/jam/goonjam
,2017-01-31 22:59:59,Owlor,Anything but human-jam,83,0,13,2017-01-01 22:59:59,https://www.itch.io/jam/anything-but-human-jam
,2018-11-16 04:00:00,Famout,Desert Bus for Hope 2018 Game Jam,83,0,27,2018-11-09 22:00:00,https://www.itch.io/jam/dbgj2018
,2018-11-29 17:00:00,Weekly Game Jam||PouleyKetchoup,Weekly Game Jam - Week 72,83,0,17,2018-11-23 17:00:00,https://www.itch.io/jam/weekly-game-jam-72
Innovation (what new way was the party building mechanic used)||Creativity (how the party building mechanic is handled)||Fun (will this mechanic make players want to keep playing)||Graphics (how the game looks and sounds like)||Storyline (what the tale you're telling with the game is),2019-07-13 03:30:00,Al Cheddah,The Collect-A-Friend Game Jam!,81,63,12,2019-06-22 00:30:00,https://www.itch.io/jam/the-collect-a-friend-game-jam
,2018-09-20 17:00:00,Weekly Game Jam||PouleyKetchoup,Weekly Game Jam - Week 62,84,0,16,2018-09-14 17:00:00,https://www.itch.io/jam/weekly-game-jam-62
,2018-11-05 07:59:59,Adam Le Doux,Ritual (Bitsy Jam),84,0,24,2018-10-27 07:00:00,https://www.itch.io/jam/ritual-bitsy
,2019-08-31 14:59:59,Red-Baby||Ertal Games,Yaoi Game Jam 2019,84,0,12,2019-06-30 14:00:00,https://www.itch.io/jam/yaoijam19
Overall||Story||Characters||Puzzle Design||Visuals||Audio||Funness,2017-09-24 21:00:00,StandOffSoftware,$101 Adventure Challenge,82,0,13,2017-09-10 21:00:00,https://www.itch.io/jam/101-adventure-challenge
Overall||Game Design||Sonoplastia||Arte||Conceito,2019-06-14 02:59:59,Sr Cedrik Rocha||RavenaKaus||Chy,Game D3V JAM,82,59,9,2019-05-30 03:00:00,https://www.itch.io/jam/game-d3v-jam
,2019-04-14 16:00:00,"Alex Zandra||Sparklingnurse||Ashlyn, Goth cat hugger",Writing Antholojam: Overtime Cats,84,0,32,2019-03-01 17:00:00,https://www.itch.io/jam/overtimecats
,2017-02-18 00:00:00,ShaunJS,GameMaker Studio 2 - BetaJam 2!,84,0,20,2017-02-03 00:00:00,https://www.itch.io/jam/betajam2
Overall||Theme||Gameplay||Aesthetics||Sound,2017-10-03 22:59:59,Virtus Learning Hub,Virtus Community Game Jam,82,74,6,2017-09-04 17:00:00,https://www.itch.io/jam/virtus-community-game-jam
"How well the game fits the theme and goal of the jam||How strongly maps are integrated in the game’s design||How elegant the game’s design is||How captivating the tone, feel and style of the game are||How easy to understand and use the game’s rules are",2019-04-18 07:00:00,Mammut RPG,Mapemounde,82,141,25,2019-04-08 07:00:00,https://www.itch.io/jam/mapemounde2019
Overall||Developer's Choice||Streamer's Choice||ScoreSpace Choice||Gameplay||Theme||Aesthetics||Sound,2019-08-20 04:00:00,ScoreSpace,ScoreSpace Jam #6 [Presented by Shacknews],83,215,22,2019-08-17 04:00:00,https://www.itch.io/jam/scorejam6
,2019-06-01 04:59:59,Big Bad Con||Nathan Black||DC||Jenn Martin,Big Bad Game Jam 2019,84,0,32,2019-04-13 05:00:00,https://www.itch.io/jam/big-bad-game-jam
,2018-08-23 23:00:00,EGX,The EGX & Rock Paper Shotgun Game Jam,84,0,23,2018-07-26 16:00:00,https://www.itch.io/jam/the-egx-2018-gamejam
Overall||Design||Graphics||Audio||Originality||Theme||Gemini Taurus's Overall rating,2019-10-24 19:59:00,Gemini Taurus,GrapeFruit GameJam 2019,83,203,15,2019-10-22 18:00:00,https://www.itch.io/jam/grapefruit-gamejam-2019
Overall||Gameplay||Art||Audio||Presentation,2019-07-01 05:00:00,ZahranW||Mini Jam Official,Mini Jam 31: Movies,83,145,18,2019-06-28 05:00:00,https://www.itch.io/jam/mini-jam-31-movies
,2018-09-27 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 63,85,0,24,2018-09-21 17:00:00,https://www.itch.io/jam/weekly-game-jam-63
Overall||Gameplay||Art||Audio||Presentation,2019-08-12 05:00:00,ZahranW||Mini Jam Official,Mini Jam 34: Balance,84,291,27,2019-08-09 05:00:00,https://www.itch.io/jam/mini-jam-34-balance
,2019-02-21 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 84,85,0,25,2019-02-15 17:00:00,https://www.itch.io/jam/weekly-game-jam-84
,2019-04-26 03:20:20,Justin Joyce,"Me, Myself, And My RPG Game Jam",85,0,33,2019-04-01 19:00:00,https://www.itch.io/jam/me-myself-and-my-rpg-game-jam
SPOOK AWARD (Best Game)||SPOOK AWARD (Host's Choice)||SCARE AWARD (Scariest Game)||SCREAM AWARD (Best Screams),2018-10-23 23:00:00,SCREAM CATALOGUE||Caveware Digital,SCREAM JAM,84,154,23,2018-10-16 23:00:00,https://www.itch.io/jam/screamjam
,2018-02-01 07:59:59,Adam Le Doux,Midnight (Bitsy Jam),86,0,50,2018-01-26 08:00:00,https://www.itch.io/jam/midnight-bitsy
Overall||Philosophy||Engaging||Graphics||Sound||Cohesion,2019-01-12 23:00:00,tallshrimp,Philosophy Game Jam,85,44,10,2019-01-05 23:00:00,https://www.itch.io/jam/philosophy-game-jam
Enjoyment||Graphics||Sound||Story||Creativity,2018-09-29 03:00:00,Lartu||tejo240,Lartu's Mini-RPG One Week Jam II,85,86,13,2018-09-14 03:00:00,https://www.itch.io/jam/lartujam-ii
,2018-03-05 08:00:00,James Earl Cox III,SalvageJam,87,0,13,2018-03-01 08:00:00,https://www.itch.io/jam/salvagejam
Overall||Gameplay||Art||Audio||Presentation,2019-08-26 05:00:00,ZahranW||Mini Jam Official,Mini Jam 35: Vikings,85,120,14,2019-08-23 05:00:00,https://www.itch.io/jam/mini-jam-35-vikings
,2019-07-01 06:35:00,eevee,GAMES MADE QUICK??? III-2,87,0,28,2019-06-23 16:30:00,https://www.itch.io/jam/games-made-quick-iii-2
Overall||Gameplay||Originality||Presentation||Overall,2018-01-04 08:00:00,Clickteam,Fusion Wars - The Programming Menace,85,153,17,2017-12-19 08:00:00,https://www.itch.io/jam/fusion-wars-the-programming-menace
Overall||Gameplay||Art||Sounds,2019-01-14 05:00:00,ZahranW,Mini Jam 19: Mysteries,85,178,27,2019-01-11 05:00:00,https://www.itch.io/jam/mini-jam-19-mysteries
Ability to explore (Area-Size)||Music/Sound Effects||Plot,2018-08-10 07:00:00,Literally A God||TheBrokenMagnum,June to July Metroidvania Jam •$100 Cash Prize•,85,0,8,2018-06-01 07:00:00,https://www.itch.io/jam/june-to-july-metroidvania-jam-100-cash-prize
,2019-02-14 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 83,87,0,14,2019-02-08 17:00:00,https://www.itch.io/jam/weekly-game-jam-83
Overall||Concept||Playability||Visual Impression||Replayabilty||Creativity,2018-11-05 13:00:00,vic485,Sykoo's Polyrealm Halloween Jam,86,90,20,2018-10-29 12:00:00,https://www.itch.io/jam/sykoos-halloween-jam
Overall||Gameplay||Art||Audio||Presentation,2019-09-23 05:00:00,ZahranW||Mini Jam Official,Mini Jam 37: Engineering,86,66,11,2019-09-20 05:00:00,https://www.itch.io/jam/mini-jam-37-engineering
Overall||Fun||Technical||Music/Sound||Graphics/Animation||Theme/Limitation,2019-10-18 17:00:00,Joshua McLean,Horror Humor Jam [8 Bits to Infinity],86,0,9,2019-10-11 17:00:00,https://www.itch.io/jam/horror-humor-jam
Overall||Concept - How well does it match the theme?||Playability - Is it fun and challenging enough to play?​||Visual impression​ - Does the art style suit the game and looks good?​||Replayability​ - Is it compelling and does it have high replay value?​||Creativity - How creative and unique is the game?​,2017-12-10 19:00:00,Tbjbu2,Sykoo's Community Game Jam,86,151,13,2017-12-03 19:00:00,https://www.itch.io/jam/sykoos-game-jam
Mejor Juego Narrativo,2018-09-01 05:59:00,Edu Sánchez Gamedev||rubereaglenest,Rayuela de Arena - Gamejam Narrativa,86,277,21,2018-08-01 07:00:00,https://www.itch.io/jam/rayuela-de-arena-gamejam-narrativa
,2018-09-13 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 61,88,0,25,2018-09-07 17:00:00,https://www.itch.io/jam/weekly-game-jam-61
Jugabilidad||Adaptación del juego a la temática||Arte||Música y efectos de sonido,2019-06-16 17:10:00,Gametopia||Daniel González,GameJamTopia,87,0,35,2019-06-14 16:00:00,https://www.itch.io/jam/gamejamtopia
,2019-06-01 04:59:59,Aggressive Combustion,ACGS Start of Summer (S.O.S) Jam,89,0,19,2019-05-20 15:00:00,https://www.itch.io/jam/acgs-sos-jam
,2019-02-14 22:00:00,nadia nova,trans gal jam 3,89,0,18,2019-01-24 22:00:00,https://www.itch.io/jam/trans-gal-jam-3
,2018-05-24 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 45,89,0,27,2018-05-18 17:00:00,https://www.itch.io/jam/weekly-game-jam-45
Overall||Note générale||Respect du thème,2018-11-20 23:59:00,David Mekersa - Gamecodeur.FR,Gamecodeur Game Jam #18,87,734,49,2018-10-29 00:00:00,https://www.itch.io/jam/gamecodeur-gamejam-18
,2018-10-22 20:59:59,Flying Whale,Emulated Dreams,89,0,16,2018-09-01 21:00:00,https://www.itch.io/jam/emulated-dreams
Overall / Note globale||Gameplay / Systèmes de jeu||Storytelling & Writing / Écriture et narration||Inventiveness / Inventivité||Aesthetics & Mood / Esthétique et ambiance,2017-08-21 21:59:59,Aurélien Dos Santos||Game Dev Alliance,RPG Maker Jam,88,468,32,2017-08-18 15:00:00,https://www.itch.io/jam/rpgmakerjam
Overall||Fun||Playability||Mobile Compatibility,2017-11-01 00:00:00,WarChildUK,HELP: War Child - Charity Game Jam,88,0,3,2017-07-31 23:00:00,https://www.itch.io/jam/help-war-child
Overall||Note générale||Respect du thème,2019-03-04 23:00:00,David Mekersa - Gamecodeur.FR,Gamecodeur Game Jam #19,88,970,46,2019-02-10 23:00:00,https://www.itch.io/jam/gamecodeur-gamejam-19
BEST GAME (General)||BEST GAME (Host's Choice)||SCARIEST GAME||BEST THEME (Best Use of Theme)||DIVERSIFIER (Game Set in a Real-World City),2019-04-22 00:00:00,SCREAM CATALOGUE||Caveware Digital,SCREAM CITY,88,58,14,2019-04-12 00:00:00,https://www.itch.io/jam/scream-city
Overall||Entertainment - How enjoyable/replayable is it?||Presentation - How does it look/feel?||Creativity - How original is the idea?||Language use - How well was Lisp incorporated into the design?,2019-04-30 03:59:59,mfiano,Lisp Game Jam 2019,88,179,19,2019-04-19 04:00:00,https://www.itch.io/jam/lisp-game-jam-2019
JOKE (FOOL FACTOR)||VISUALS||AUDIO||POLISH,2018-04-02 04:59:59,radHABiT,APRIL FOOL'S JAM,88,34,18,2018-03-26 04:59:59,https://www.itch.io/jam/april-fools-jam
,2015-07-01 04:00:00,Galejade,WAG Challenge!,90,0,85,2015-06-01 04:00:00,https://www.itch.io/jam/wag-challenge
,2017-03-06 22:59:59,A MAZE.,🍉 Melon Game Jam 🍉,91,0,30,2017-01-26 23:00:00,https://www.itch.io/jam/melon-game-jam
Theme Relevance||Aesthetics||Enjoyment,2019-05-28 14:00:00,takushyo,Taku's Mini Jam,89,0,18,2019-05-24 14:00:00,https://www.itch.io/jam/takus-mini-jam
Overall||Graphics||Audio||Fun||Technical||Theme,2018-12-10 19:00:00,Joshua McLean,Retro Platformer Jam (Prizes!),90,0,15,2018-12-07 19:00:00,https://www.itch.io/jam/retro-platformer-jam
Overall||Fun||Technical||Music/Sound||Graphics/Animation||Theme/Limitation,2019-08-16 17:00:00,Joshua McLean,GB30 Jam [8 Bits to Infinity],90,0,21,2019-08-09 17:00:00,https://www.itch.io/jam/gb30-jam
Overall,2016-11-30 08:00:00,Title_Pending,Twine and National Novel Writing Month,90,0,1,2016-10-31 07:00:00,https://www.itch.io/jam/twine-and-national-novel-writing-month
Overall||Respect of the themes||Respect of the Constraint||Game Play||Game Design||Music||Sounds||Graphics,2018-06-25 06:00:00,T-Team,Games Factory Jam 5,90,169,22,2018-06-22 18:00:00,https://www.itch.io/jam/games-factory-5
,2019-08-11 23:00:00,dreamup||Lady Entropy||jrmariano||scumbagDM,#RPGenesis 2019,92,0,20,2019-08-03 23:00:00,https://www.itch.io/jam/rpgenesis2019
,2016-05-22 22:59:59,zerofiftyone,Wizard Jam 2016,92,0,47,2016-05-06 23:00:00,https://www.itch.io/jam/wizard-jam-2016
,2018-03-19 08:00:00,msminotaur,Train Jam 2018,92,0,81,2018-03-15 06:00:00,https://www.itch.io/jam/train-jam-2018
,2019-10-03 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 116,92,0,24,2019-09-27 17:00:00,https://www.itch.io/jam/weekly-game-jam-116
,2017-11-01 06:59:59,Adam Le Doux,Castles & Ruins (Bitsy Jam),93,0,31,2017-10-25 07:00:00,https://www.itch.io/jam/ruins
Overall||Respect of the Themes||Respect of the Constraint||Game Play||Game Design||Musics||Sounds||Graphics,2018-05-31 17:00:00,T-Team||Weekly Game Jam,Games Factory Jam & Weekly Game Jam,91,70,20,2018-05-25 17:00:00,https://www.itch.io/jam/games-factory-4
Overall,2019-10-01 02:59:59,Ray Nexus,Songtember,91,0,63,2019-09-01 03:00:00,https://www.itch.io/jam/songtember2
Overall||Gameplay/Fun||Art||Theme,2018-05-07 08:00:00,Scared Square Games,PaperJam 2018,91,20,16,2018-04-23 08:00:00,https://www.itch.io/jam/paperjam-2018
Overall||Gameplay||Originality||Presentation||Overall,2017-10-23 06:59:00,Clickteam,Weirder Stuff 2,92,189,17,2017-10-20 07:00:00,https://www.itch.io/jam/weirder-stuff-2
,2018-08-30 17:00:00,Weekly Game Jam||PouleyKetchoup,Weekly Game Jam - Week 59,93,0,11,2018-08-24 17:00:00,https://www.itch.io/jam/weekly-game-jam-59
,2015-02-08 13:00:00,Nordic Game Jam||Anchel,Nordic Game Jam 2015,93,0,93,2015-02-06 12:00:00,https://www.itch.io/jam/ngj15
,2018-11-02 03:59:59,Grim 👁️,Greek MytholoJam 2018,93,0,15,2018-09-01 04:00:00,https://www.itch.io/jam/greek-mytholojam-2018
Overall||Theme||Story||Music||Sound||Graphics,2016-08-03 04:00:00,ClayBrickEntertainment,Cyberpunk Jam 2.0,92,19,9,2016-07-08 17:00:00,https://www.itch.io/jam/cyberpunkjam2
Overall||Graphics||Audio||Gameplay||Use Of Theme,2018-03-16 12:00:00,JackOatley||Gurpreet Singh Matharoo,JamCraft 2018,92,149,18,2018-03-02 12:00:00,https://www.itch.io/jam/jamcraft
Overall||Fun||Creativity||Polish||Theme,2018-10-29 00:00:00,ViolentCrumble,GDL - Spooky Jam,92,182,14,2018-10-26 00:00:00,https://www.itch.io/jam/gdl-spooky-jam
Overall||Incorporation of Vile Ingredients||Fun Despite Itself,2019-07-13 00:00:00,KyleBosman,Glinny's Cauldron Jam,92,338,16,2019-06-07 19:00:00,https://www.itch.io/jam/glinnys-cauldron-jam
,2018-02-28 05:00:00,gmx0,Resurrect an Old Project Etc. Jam,94,0,18,2018-02-21 05:00:00,https://www.itch.io/jam/rope
,2019-01-14 08:00:00,jmas,tortle jam,95,0,27,2019-01-11 08:00:00,https://www.itch.io/jam/tortle-jam
,2019-07-31 23:00:00,Breogán Hackett,Haunted PS1 Summer Spooks,95,0,22,2019-05-31 23:00:00,https://www.itch.io/jam/the-haunted-ps1-summer-spooks
Globalement||Gameplay||Visuels||Musique et effets sonores||Respect du thème,2018-03-18 13:00:00,Stache||Orbital Game Jam,Orbital Game Jam,93,116,11,2018-03-17 13:00:00,https://www.itch.io/jam/orbital-game-jam
,2019-09-26 17:00:00,Weekly Game Jam||PouleyKetchoup,Weekly Game Jam - Week 115,95,0,24,2019-09-20 17:00:00,https://www.itch.io/jam/weekly-game-jam-115
Overall||Deliciousness||Respect of the limitations||Game play||Game design||Music||Sound effects||Graphics,2018-08-13 03:59:59,ZahranW||KingW,Mini Jam 8 - Fantasy -,93,237,25,2018-08-10 04:00:00,https://www.itch.io/jam/mini-jam-8-fantasy
,2019-09-20 23:00:00,Women Game Jam Latam||rapyo||HugoLeMoy,Women Game Jam Latinamerica,95,0,45,2019-09-06 21:00:00,https://www.itch.io/jam/wgjlatam
,2018-01-15 10:02:00,eevee,GAMES MADE QUICK??? 2.0,96,0,28,2018-01-07 16:30:00,https://www.itch.io/jam/games-made-quick-2
Overall||Relevance to the Theme||Creativity||Gameplay||Visual Experience||Audio Experience,2019-04-22 02:00:00,artsybarrels,Bored Pixels Jam 4,93,32,10,2019-04-15 02:00:00,https://www.itch.io/jam/bored-pixels-jam-4
Overall||Concept||Execution||Polish,2019-08-24 23:00:00,Brandon JS Lea,Scratch Jam,94,107,14,2019-08-22 23:00:00,https://www.itch.io/jam/scratch-jam
Overall||Gameplay||Art||Story||Sounds,2019-02-11 05:00:00,ZahranW,Mini Jam 21: Stories,94,95,14,2019-02-08 05:00:00,https://www.itch.io/jam/mini-jam-21-stories
Overall Rating,2017-06-14 22:59:59,Gazzapper,ZX Spectrum BASIC Jam,94,156,24,2017-05-31 23:00:00,https://www.itch.io/jam/zx-spectrum-basic-jam
Overall||Respect of the limitaions||Game play||Game design||Music||Sound effects||Graphics,2018-08-27 03:59:59,ZahranW||Mini Jam Official||KingW,Mini Jam 9 - Back To School -,95,159,28,2018-08-24 04:00:00,https://www.itch.io/jam/mini-jam-9-back-to-school-
,2017-05-15 03:59:59,JaShinYa,IRXJam17,96,0,21,2017-05-13 04:00:00,https://www.itch.io/jam/irxjam17
Overall Experience||Relevance to Theme||Gameplay||Innovation||Aesthetics,2018-11-19 08:30:00,Yadu Rajiv||Kinshuk Sunil,BYOG 2018,95,0,21,2018-11-16 12:30:00,https://www.itch.io/jam/byog-2018
,2019-02-22 05:00:00,fadingroots,Felonious Fauna 2k19!,97,0,47,2019-02-01 05:00:00,https://www.itch.io/jam/feloniousfauna
,2018-07-09 08:00:00,StandOffSoftware,How Have You Been? Jam,97,0,21,2018-07-02 08:00:00,https://www.itch.io/jam/how-have-you-been
,2019-04-25 17:00:00,Weekly Game Jam||PouleyKetchoup||Nekomatata,Weekly Game Jam - Week 93,97,0,20,2019-04-19 17:00:00,https://www.itch.io/jam/weekly-game-jam-93
Overall||Gameplay||Creativity||Theme||Graphics||Audio||Judge Ranking,2019-07-01 04:00:00,phantomunboxing,VR-Jam 2019,95,48,11,2019-06-24 04:00:00,https://www.itch.io/jam/vr-jam-2k19
,2018-09-21 18:00:00,Nyu Media||Jay Rab,★ TyranoBuilder Summer Game Jam 2018! ★,97,0,20,2018-06-22 18:00:00,https://www.itch.io/jam/tyranojam18
Overall||Gameplay||Art||Audio||Presentation,2019-06-03 05:00:00,ZahranW||Mini Jam Official,Mini Jam 29: Ninjas,95,354,31,2019-05-31 05:00:00,https://www.itch.io/jam/mini-jam-29-ninjas
Overall||Note générale||Respect du thème,2019-06-30 21:59:00,David Mekersa - Gamecodeur.FR,Gamecodeur Game Jam #20,96,873,45,2019-06-11 12:00:00,https://www.itch.io/jam/gamecodeur-gamejam-20
,2018-07-02 07:50:00,eevee,GAMES MADE QUICK??? 2.5,97,0,24,2018-06-24 16:30:00,https://www.itch.io/jam/games-made-quick-25
"Overall||Un-sue-ableness||Inscrutability (what planet did this come from, and how did they so misunderstand human culture??)||Best use of twins",2015-09-24 05:00:00,Fantastic Arcade Gamemaking Frenzies||Hypercards,Gamemaking Frenzy: DUPLICADE,96,602,60,2015-09-10 15:00:00,https://www.itch.io/jam/duplicade
Overall||•	Strong connection to the theme||•	Commercial Potential||•	Fun||•	Innovation||•	Graphics||•	Audio||•	Narrative||•	Teamwork evident in game creation,2019-03-11 13:00:00,Jamfuser,Jamfuser,96,268,13,2019-03-08 12:00:00,https://www.itch.io/jam/jamfuser
,2019-01-17 17:00:00,Weekly Game Jam||PouleyKetchoup||Nekomatata,Weekly Game Jam - Week 79,99,0,13,2019-01-11 17:00:00,https://www.itch.io/jam/weekly-game-jam-79
,2018-02-01 04:59:59,Metaparadox,Ace Jam,99,0,24,2018-01-01 05:00:00,https://www.itch.io/jam/ace-jam
,2019-05-09 17:00:00,Nekomatata||PouleyKetchoup||Weekly Game Jam,Weekly Game Jam - Week 95,100,0,24,2019-05-03 17:00:00,https://www.itch.io/jam/weekly-game-jam-95
,2019-01-04 02:00:00,Wyndfall,Homemade Game Jam,100,0,15,2018-12-28 02:00:00,https://www.itch.io/jam/homemade-game-jam
,2018-07-05 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 51,100,0,23,2018-06-29 17:00:00,https://www.itch.io/jam/weekly-game-jam-51
,2018-04-15 10:30:00,Nordic Game Jam team!,Nordic Game Jam 2018,101,0,82,2018-04-13 18:00:00,https://www.itch.io/jam/ngj18
Overall||Theme (Does this match the theme well?)||Gameplay (How fun is it?)||Graphics (Is it pretty?)||Audio (Does it sound good?),2019-10-07 04:00:00,Pale||Sarrixx,One Script Jam,98,157,13,2019-09-30 04:00:00,https://www.itch.io/jam/osj
Overall||Deliciousness||Respect of the limitations||Game play||Game design||Music||Sound effects||Graphics,2018-07-16 03:59:59,ZahranW||KingW,Mini Jam 6 -BOSS RUSH-,98,137,20,2018-07-13 04:00:00,https://www.itch.io/jam/mini-jam-6th-edition
,2019-07-18 17:00:00,Weekly Game Jam||PouleyKetchoup||Nekomatata,Weekly Game Jam - Week 105,101,0,25,2019-07-12 17:00:00,https://www.itch.io/jam/weekly-game-jam-105
Overall||Interpretation of the Horse name!||Aesthetics||Innovation||Feel,2019-08-11 17:00:00,ComputerJames,PIZZA JAM! (pizza prize),98,312,26,2019-08-09 17:00:00,https://www.itch.io/jam/pizzza-jam-pizza-prize
