jam_criteria,jam_end_date,jam_host,jam_name,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url,jam_english
Overall||Gameplay||Art||Audio||Presentation,2019-09-23 05:00:00,ZahranW||Mini Jam Official,Mini Jam 37: Engineering,86,66,11,2019-09-20 05:00:00,https://www.itch.io/jam/mini-jam-37-engineering,y
Overall||Fun||Technical||Music/Sound||Graphics/Animation||Theme/Limitation,2019-10-18 17:00:00,Joshua McLean,Horror Humor Jam [8 Bits to Infinity],86,0,9,2019-10-11 17:00:00,https://www.itch.io/jam/horror-humor-jam,y
Overall||Concept - How well does it match the theme?||Playability - Is it fun and challenging enough to play?​||Visual impression​ - Does the art style suit the game and looks good?​||Replayability​ - Is it compelling and does it have high replay value?​||Creativity - How creative and unique is the game?​,2017-12-10 19:00:00,Tbjbu2,Sykoo's Community Game Jam,86,151,13,2017-12-03 19:00:00,https://www.itch.io/jam/sykoos-game-jam,y
Mejor Juego Narrativo,2018-09-01 05:59:00,Edu Sánchez Gamedev||rubereaglenest,Rayuela de Arena - Gamejam Narrativa,86,277,21,2018-08-01 07:00:00,https://www.itch.io/jam/rayuela-de-arena-gamejam-narrativa,n
,2018-09-13 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 61,88,0,25,2018-09-07 17:00:00,https://www.itch.io/jam/weekly-game-jam-61,u
Jugabilidad||Adaptación del juego a la temática||Arte||Música y efectos de sonido,2019-06-16 17:10:00,Gametopia||Daniel González,GameJamTopia,87,0,35,2019-06-14 16:00:00,https://www.itch.io/jam/gamejamtopia,n
,2019-06-01 04:59:59,Aggressive Combustion,ACGS Start of Summer (S.O.S) Jam,89,0,19,2019-05-20 15:00:00,https://www.itch.io/jam/acgs-sos-jam,u
,2019-02-14 22:00:00,nadia nova,trans gal jam 3,89,0,18,2019-01-24 22:00:00,https://www.itch.io/jam/trans-gal-jam-3,u
,2018-05-24 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 45,89,0,27,2018-05-18 17:00:00,https://www.itch.io/jam/weekly-game-jam-45,u
Overall||Note générale||Respect du thème,2018-11-20 23:59:00,David Mekersa - Gamecodeur.FR,Gamecodeur Game Jam #18,87,734,49,2018-10-29 00:00:00,https://www.itch.io/jam/gamecodeur-gamejam-18,n
,2018-10-22 20:59:59,Flying Whale,Emulated Dreams,89,0,16,2018-09-01 21:00:00,https://www.itch.io/jam/emulated-dreams,u
Overall / Note globale||Gameplay / Systèmes de jeu||Storytelling & Writing / Écriture et narration||Inventiveness / Inventivité||Aesthetics & Mood / Esthétique et ambiance,2017-08-21 21:59:59,Aurélien Dos Santos||Game Dev Alliance,RPG Maker Jam,88,468,32,2017-08-18 15:00:00,https://www.itch.io/jam/rpgmakerjam,y
Overall||Fun||Playability||Mobile Compatibility,2017-11-01 00:00:00,WarChildUK,HELP: War Child - Charity Game Jam,88,0,3,2017-07-31 23:00:00,https://www.itch.io/jam/help-war-child,y
Overall||Note générale||Respect du thème,2019-03-04 23:00:00,David Mekersa - Gamecodeur.FR,Gamecodeur Game Jam #19,88,970,46,2019-02-10 23:00:00,https://www.itch.io/jam/gamecodeur-gamejam-19,n
BEST GAME (General)||BEST GAME (Host's Choice)||SCARIEST GAME||BEST THEME (Best Use of Theme)||DIVERSIFIER (Game Set in a Real-World City),2019-04-22 00:00:00,SCREAM CATALOGUE||Caveware Digital,SCREAM CITY,88,58,14,2019-04-12 00:00:00,https://www.itch.io/jam/scream-city,y
Overall||Entertainment - How enjoyable/replayable is it?||Presentation - How does it look/feel?||Creativity - How original is the idea?||Language use - How well was Lisp incorporated into the design?,2019-04-30 03:59:59,mfiano,Lisp Game Jam 2019,88,179,19,2019-04-19 04:00:00,https://www.itch.io/jam/lisp-game-jam-2019,y
JOKE (FOOL FACTOR)||VISUALS||AUDIO||POLISH,2018-04-02 04:59:59,radHABiT,APRIL FOOL'S JAM,88,34,18,2018-03-26 04:59:59,https://www.itch.io/jam/april-fools-jam,y
,2015-07-01 04:00:00,Galejade,WAG Challenge!,90,0,85,2015-06-01 04:00:00,https://www.itch.io/jam/wag-challenge,u
,2017-03-06 22:59:59,A MAZE.,🍉 Melon Game Jam 🍉,91,0,30,2017-01-26 23:00:00,https://www.itch.io/jam/melon-game-jam,u
Theme Relevance||Aesthetics||Enjoyment,2019-05-28 14:00:00,takushyo,Taku's Mini Jam,89,0,18,2019-05-24 14:00:00,https://www.itch.io/jam/takus-mini-jam,y
Overall||Graphics||Audio||Fun||Technical||Theme,2018-12-10 19:00:00,Joshua McLean,Retro Platformer Jam (Prizes!),90,0,15,2018-12-07 19:00:00,https://www.itch.io/jam/retro-platformer-jam,y
Overall||Fun||Technical||Music/Sound||Graphics/Animation||Theme/Limitation,2019-08-16 17:00:00,Joshua McLean,GB30 Jam [8 Bits to Infinity],90,0,21,2019-08-09 17:00:00,https://www.itch.io/jam/gb30-jam,y
Overall,2016-11-30 08:00:00,Title_Pending,Twine and National Novel Writing Month,90,0,1,2016-10-31 07:00:00,https://www.itch.io/jam/twine-and-national-novel-writing-month,y
Overall||Respect of the themes||Respect of the Constraint||Game Play||Game Design||Music||Sounds||Graphics,2018-06-25 06:00:00,T-Team,Games Factory Jam 5,90,169,22,2018-06-22 18:00:00,https://www.itch.io/jam/games-factory-5,y
,2019-08-11 23:00:00,dreamup||Lady Entropy||jrmariano||scumbagDM,#RPGenesis 2019,92,0,20,2019-08-03 23:00:00,https://www.itch.io/jam/rpgenesis2019,u
,2016-05-22 22:59:59,zerofiftyone,Wizard Jam 2016,92,0,47,2016-05-06 23:00:00,https://www.itch.io/jam/wizard-jam-2016,u
,2018-03-19 08:00:00,msminotaur,Train Jam 2018,92,0,81,2018-03-15 06:00:00,https://www.itch.io/jam/train-jam-2018,u
,2019-10-03 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 116,92,0,24,2019-09-27 17:00:00,https://www.itch.io/jam/weekly-game-jam-116,u
,2017-11-01 06:59:59,Adam Le Doux,Castles & Ruins (Bitsy Jam),93,0,31,2017-10-25 07:00:00,https://www.itch.io/jam/ruins,u
Overall||Respect of the Themes||Respect of the Constraint||Game Play||Game Design||Musics||Sounds||Graphics,2018-05-31 17:00:00,T-Team||Weekly Game Jam,Games Factory Jam & Weekly Game Jam,91,70,20,2018-05-25 17:00:00,https://www.itch.io/jam/games-factory-4,y
Overall,2019-10-01 02:59:59,Ray Nexus,Songtember,91,0,63,2019-09-01 03:00:00,https://www.itch.io/jam/songtember2,y
Overall||Gameplay/Fun||Art||Theme,2018-05-07 08:00:00,Scared Square Games,PaperJam 2018,91,20,16,2018-04-23 08:00:00,https://www.itch.io/jam/paperjam-2018,y
Overall||Gameplay||Originality||Presentation||Overall,2017-10-23 06:59:00,Clickteam,Weirder Stuff 2,92,189,17,2017-10-20 07:00:00,https://www.itch.io/jam/weirder-stuff-2,y
,2018-08-30 17:00:00,Weekly Game Jam||PouleyKetchoup,Weekly Game Jam - Week 59,93,0,11,2018-08-24 17:00:00,https://www.itch.io/jam/weekly-game-jam-59,u
,2015-02-08 13:00:00,Nordic Game Jam||Anchel,Nordic Game Jam 2015,93,0,93,2015-02-06 12:00:00,https://www.itch.io/jam/ngj15,u
,2018-11-02 03:59:59,Grim 👁️,Greek MytholoJam 2018,93,0,15,2018-09-01 04:00:00,https://www.itch.io/jam/greek-mytholojam-2018,u
Overall||Theme||Story||Music||Sound||Graphics,2016-08-03 04:00:00,ClayBrickEntertainment,Cyberpunk Jam 2.0,92,19,9,2016-07-08 17:00:00,https://www.itch.io/jam/cyberpunkjam2,y
Overall||Graphics||Audio||Gameplay||Use Of Theme,2018-03-16 12:00:00,JackOatley||Gurpreet Singh Matharoo,JamCraft 2018,92,149,18,2018-03-02 12:00:00,https://www.itch.io/jam/jamcraft,y
Overall||Fun||Creativity||Polish||Theme,2018-10-29 00:00:00,ViolentCrumble,GDL - Spooky Jam,92,182,14,2018-10-26 00:00:00,https://www.itch.io/jam/gdl-spooky-jam,y
Overall||Incorporation of Vile Ingredients||Fun Despite Itself,2019-07-13 00:00:00,KyleBosman,Glinny's Cauldron Jam,92,338,16,2019-06-07 19:00:00,https://www.itch.io/jam/glinnys-cauldron-jam,y
,2018-02-28 05:00:00,gmx0,Resurrect an Old Project Etc. Jam,94,0,18,2018-02-21 05:00:00,https://www.itch.io/jam/rope,u
,2019-01-14 08:00:00,jmas,tortle jam,95,0,27,2019-01-11 08:00:00,https://www.itch.io/jam/tortle-jam,u
,2019-07-31 23:00:00,Breogán Hackett,Haunted PS1 Summer Spooks,95,0,22,2019-05-31 23:00:00,https://www.itch.io/jam/the-haunted-ps1-summer-spooks,u
Globalement||Gameplay||Visuels||Musique et effets sonores||Respect du thème,2018-03-18 13:00:00,Stache||Orbital Game Jam,Orbital Game Jam,93,116,11,2018-03-17 13:00:00,https://www.itch.io/jam/orbital-game-jam,n
,2019-09-26 17:00:00,Weekly Game Jam||PouleyKetchoup,Weekly Game Jam - Week 115,95,0,24,2019-09-20 17:00:00,https://www.itch.io/jam/weekly-game-jam-115,u
Overall||Deliciousness||Respect of the limitations||Game play||Game design||Music||Sound effects||Graphics,2018-08-13 03:59:59,ZahranW||KingW,Mini Jam 8 - Fantasy -,93,237,25,2018-08-10 04:00:00,https://www.itch.io/jam/mini-jam-8-fantasy,y
,2019-09-20 23:00:00,Women Game Jam Latam||rapyo||HugoLeMoy,Women Game Jam Latinamerica,95,0,45,2019-09-06 21:00:00,https://www.itch.io/jam/wgjlatam,u
,2018-01-15 10:02:00,eevee,GAMES MADE QUICK??? 2.0,96,0,28,2018-01-07 16:30:00,https://www.itch.io/jam/games-made-quick-2,u
Overall||Relevance to the Theme||Creativity||Gameplay||Visual Experience||Audio Experience,2019-04-22 02:00:00,artsybarrels,Bored Pixels Jam 4,93,32,10,2019-04-15 02:00:00,https://www.itch.io/jam/bored-pixels-jam-4,y
Overall||Concept||Execution||Polish,2019-08-24 23:00:00,Brandon JS Lea,Scratch Jam,94,107,14,2019-08-22 23:00:00,https://www.itch.io/jam/scratch-jam,y
Overall||Gameplay||Art||Story||Sounds,2019-02-11 05:00:00,ZahranW,Mini Jam 21: Stories,94,95,14,2019-02-08 05:00:00,https://www.itch.io/jam/mini-jam-21-stories,y
Overall Rating,2017-06-14 22:59:59,Gazzapper,ZX Spectrum BASIC Jam,94,156,24,2017-05-31 23:00:00,https://www.itch.io/jam/zx-spectrum-basic-jam,y
Overall||Respect of the limitaions||Game play||Game design||Music||Sound effects||Graphics,2018-08-27 03:59:59,ZahranW||Mini Jam Official||KingW,Mini Jam 9 - Back To School -,95,159,28,2018-08-24 04:00:00,https://www.itch.io/jam/mini-jam-9-back-to-school-,y
,2017-05-15 03:59:59,JaShinYa,IRXJam17,96,0,21,2017-05-13 04:00:00,https://www.itch.io/jam/irxjam17,u
Overall Experience||Relevance to Theme||Gameplay||Innovation||Aesthetics,2018-11-19 08:30:00,Yadu Rajiv||Kinshuk Sunil,BYOG 2018,95,0,21,2018-11-16 12:30:00,https://www.itch.io/jam/byog-2018,y
,2019-02-22 05:00:00,fadingroots,Felonious Fauna 2k19!,97,0,47,2019-02-01 05:00:00,https://www.itch.io/jam/feloniousfauna,u
,2018-07-09 08:00:00,StandOffSoftware,How Have You Been? Jam,97,0,21,2018-07-02 08:00:00,https://www.itch.io/jam/how-have-you-been,u
,2019-04-25 17:00:00,Weekly Game Jam||PouleyKetchoup||Nekomatata,Weekly Game Jam - Week 93,97,0,20,2019-04-19 17:00:00,https://www.itch.io/jam/weekly-game-jam-93,u
Overall||Gameplay||Creativity||Theme||Graphics||Audio||Judge Ranking,2019-07-01 04:00:00,phantomunboxing,VR-Jam 2019,95,48,11,2019-06-24 04:00:00,https://www.itch.io/jam/vr-jam-2k19,y
,2018-09-21 18:00:00,Nyu Media||Jay Rab,★ TyranoBuilder Summer Game Jam 2018! ★,97,0,20,2018-06-22 18:00:00,https://www.itch.io/jam/tyranojam18,u
Overall||Gameplay||Art||Audio||Presentation,2019-06-03 05:00:00,ZahranW||Mini Jam Official,Mini Jam 29: Ninjas,95,354,31,2019-05-31 05:00:00,https://www.itch.io/jam/mini-jam-29-ninjas,y
Overall||Note générale||Respect du thème,2019-06-30 21:59:00,David Mekersa - Gamecodeur.FR,Gamecodeur Game Jam #20,96,873,45,2019-06-11 12:00:00,https://www.itch.io/jam/gamecodeur-gamejam-20,n
,2018-07-02 07:50:00,eevee,GAMES MADE QUICK??? 2.5,97,0,24,2018-06-24 16:30:00,https://www.itch.io/jam/games-made-quick-25,u
"Overall||Un-sue-ableness||Inscrutability (what planet did this come from, and how did they so misunderstand human culture??)||Best use of twins",2015-09-24 05:00:00,Fantastic Arcade Gamemaking Frenzies||Hypercards,Gamemaking Frenzy: DUPLICADE,96,602,60,2015-09-10 15:00:00,https://www.itch.io/jam/duplicade,y
Overall||•	Strong connection to the theme||•	Commercial Potential||•	Fun||•	Innovation||•	Graphics||•	Audio||•	Narrative||•	Teamwork evident in game creation,2019-03-11 13:00:00,Jamfuser,Jamfuser,96,268,13,2019-03-08 12:00:00,https://www.itch.io/jam/jamfuser,y
,2019-01-17 17:00:00,Weekly Game Jam||PouleyKetchoup||Nekomatata,Weekly Game Jam - Week 79,99,0,13,2019-01-11 17:00:00,https://www.itch.io/jam/weekly-game-jam-79,u
,2018-02-01 04:59:59,Metaparadox,Ace Jam,99,0,24,2018-01-01 05:00:00,https://www.itch.io/jam/ace-jam,u
,2019-05-09 17:00:00,Nekomatata||PouleyKetchoup||Weekly Game Jam,Weekly Game Jam - Week 95,100,0,24,2019-05-03 17:00:00,https://www.itch.io/jam/weekly-game-jam-95,u
,2019-01-04 02:00:00,Wyndfall,Homemade Game Jam,100,0,15,2018-12-28 02:00:00,https://www.itch.io/jam/homemade-game-jam,u
,2018-07-05 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 51,100,0,23,2018-06-29 17:00:00,https://www.itch.io/jam/weekly-game-jam-51,u
,2018-04-15 10:30:00,Nordic Game Jam team!,Nordic Game Jam 2018,101,0,82,2018-04-13 18:00:00,https://www.itch.io/jam/ngj18,u
Overall||Theme (Does this match the theme well?)||Gameplay (How fun is it?)||Graphics (Is it pretty?)||Audio (Does it sound good?),2019-10-07 04:00:00,Pale||Sarrixx,One Script Jam,98,157,13,2019-09-30 04:00:00,https://www.itch.io/jam/osj,y
Overall||Deliciousness||Respect of the limitations||Game play||Game design||Music||Sound effects||Graphics,2018-07-16 03:59:59,ZahranW||KingW,Mini Jam 6 -BOSS RUSH-,98,137,20,2018-07-13 04:00:00,https://www.itch.io/jam/mini-jam-6th-edition,y
,2019-07-18 17:00:00,Weekly Game Jam||PouleyKetchoup||Nekomatata,Weekly Game Jam - Week 105,101,0,25,2019-07-12 17:00:00,https://www.itch.io/jam/weekly-game-jam-105,u
Overall||Interpretation of the Horse name!||Aesthetics||Innovation||Feel,2019-08-11 17:00:00,ComputerJames,PIZZA JAM! (pizza prize),98,312,26,2019-08-09 17:00:00,https://www.itch.io/jam/pizzza-jam-pizza-prize,y
Concept (1+1=3)||Gameplay||Visuals||Relevance to theme: Winter,2017-11-10 12:30:00,Gurpreet Singh Matharoo,1+1=3 Jam,98,35,11,2017-11-03 12:30:00,https://www.itch.io/jam/oneplusone,y
,2016-11-17 08:00:00,TNERB,YOUjam,101,0,13,2016-10-15 07:00:00,https://www.itch.io/jam/youjam,u
Overall||Gameplay||Art||Audio||Presentation,2019-10-07 05:00:00,ZahranW||Mini Jam Official,Mini Jam 38: Food,99,141,24,2019-10-04 05:00:00,https://www.itch.io/jam/mini-jam-38-food,y
Overall||Visuals||Gameplay||Creativity||Overall,2018-03-12 01:00:00,81monkeys,100 Lines of Code GameMaker Jam,99,211,32,2018-03-10 02:00:00,https://www.itch.io/jam/100-lines-of-code-gamemaker-game-jam,y
Overall||Relevance To The Theme||Creativity||Gameplay||Visual Experience||Audio Experience,2018-10-22 02:00:00,artsybarrels,Bored Pixels Jam 2,100,123,19,2018-10-15 02:00:00,https://www.itch.io/jam/bored-pixels-jam-2,y
,2019-10-28 05:00:00,Chillennium Game Jam,Chillennium 2019,102,0,52,2019-10-04 22:30:00,https://www.itch.io/jam/chillennium,u
,2019-04-11 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 91,103,0,16,2019-04-05 17:00:00,https://www.itch.io/jam/weekly-game-jam-91,u
Overall||Creativity||Fun||Looks||Sound||Orginality||Theme relevance,2017-09-25 10:00:00,computerfiguur,CFN Game Jam,101,210,19,2017-09-14 22:00:00,https://www.itch.io/jam/cfn-gamejam,y
,2018-11-05 08:00:00,GameDevsQuest,GDQ One Mechanic Game Jam 5,103,0,35,2018-11-02 07:00:00,https://www.itch.io/jam/omgjam5,u
,2015-11-07 08:00:00,KittyKatStar||Carrogath,Yuri Game Jam,103,0,34,2015-09-01 07:00:00,https://www.itch.io/jam/yuri-game-jam,u
,2019-07-22 13:00:00,Samuele Sciacca,Svilupparegiochi | Jam #1,104,0,27,2019-07-08 13:00:00,https://www.itch.io/jam/svilupparegiochi-jam-1,u
,2019-01-16 06:00:00,Riley Hopkins,Record Collection 2k19,104,0,65,2019-01-01 06:00:00,https://www.itch.io/jam/recordcollection2k19,u
,2019-01-07 03:00:00,Jusiv,GDC Dev  - Chill Jam 2018-19,104,0,18,2018-12-15 22:00:00,https://www.itch.io/jam/gdc-dev-chill-jam,u
Crowd Favorite,2017-10-18 04:59:59,Chillennium Game Jam,Chillennium 2017,101,47,89,2017-10-13 23:00:00,https://www.itch.io/jam/chillennium17,y
,2019-09-26 18:30:00,StareOutGames,StareOutGames Hypercasual GameJam #1,102,0,15,2019-09-19 18:30:00,https://www.itch.io/jam/stareoutgamejam,u
,2019-06-22 04:00:00,fadingroots,Pride Month: Tabletop Gaymes,105,0,35,2019-06-01 04:00:00,https://www.itch.io/jam/pride,u
Overall||Gameplay||Art||Audio||Innovation,2019-01-07 21:00:00,Geta,Geta Game Jam 6,102,206,23,2019-01-04 21:00:00,https://www.itch.io/jam/geta-game-jam-6,y
,2019-01-31 17:00:00,Weekly Game Jam||PouleyKetchoup,Weekly Game Jam - Week 81,105,0,27,2019-01-25 17:00:00,https://www.itch.io/jam/weekly-game-jam-81,u
Over All||Respect of the limitations||Respect of the theme||Game play||Game design||Sound||Graphics,2018-10-22 04:00:00,ZahranW||Mini Jam Official,Mini Jam 13 -Villains-,102,193,25,2018-10-19 04:00:00,https://www.itch.io/jam/mini-jam-13-villains-,y
,2016-08-08 03:59:59,z04||skyharborr||adirosa||Laiska,Yaoi Game Jam,105,0,19,2016-06-01 04:00:00,https://www.itch.io/jam/yaoijam,u
Overall||Theme||Fun||Controls||Graphics||Audio||Originality,2019-04-21 04:00:00,Bakenshake||irmoz||Lentsius,Godot Wild Jam #8,103,362,22,2019-04-12 04:00:00,https://www.itch.io/jam/godot-wild-jam-8,y
,2018-07-14 21:00:00,nadia nova,trans gal jam 2,105,0,23,2018-06-24 21:00:00,https://www.itch.io/jam/trans-gal-jam-2,u
,2018-12-27 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 76,106,0,24,2018-12-21 17:00:00,https://www.itch.io/jam/weekly-game-jam-76,u
,2019-07-04 17:00:00,Weekly Game Jam||PouleyKetchoup,Weekly Game Jam - Week 103,106,0,22,2019-06-28 17:00:00,https://www.itch.io/jam/weekly-game-jam-103,u
Official Winners||Characters||Creativity||Graphics||Story||Audio,2018-11-13 04:59:00,Patchwork Princess||Astralore,Maximum Monster Month! 2,105,77,13,2018-10-12 04:00:00,https://www.itch.io/jam/maximum-monster-month-2,y
Overall||Creative Gameplay||Stimulating Audio||Immersive Visuals||Theme Adaptation,2018-07-09 12:00:00,TairaGames,Dev Squad Jam: ONE ROOM,105,322,25,2018-07-02 12:00:00,https://www.itch.io/jam/dev-squad-jam-5,y
,2019-02-01 08:00:00,Randy Lubin (he / him)||Copia Gaming,Gaming Like It's 1923,108,0,33,2019-01-01 08:00:00,https://www.itch.io/jam/gaming-like-its-1923,u
Overall||Theme||Controls||Graphics||Audio||Immersion||Narrative||Originality,2019-01-20 05:00:00,Lentsius||Bakenshake||irmoz,Godot Wild Jam #5,105,205,19,2019-01-11 05:00:00,https://www.itch.io/jam/godot-wild-jam-5,y
Overall||Look and Style Interpretation||Creativity of Soundtrack and Sound||Story Quality and Engagement||Refinement and Optimization||Gameplay Creativity,2017-09-05 12:00:00,TairaGames,Dev Squad Jam: Replicate,105,290,23,2017-09-01 13:00:00,https://www.itch.io/jam/dev-squad-jam-replicate,y
,2017-06-29 03:59:59,Doc Saturn,Dream Diary Jam,108,0,34,2017-06-01 04:00:00,https://www.itch.io/jam/dream-diary-jam,u
Overall||Theme||Design (This refers to the space where mechanics take place)||Audio||Gameplay (The mechanics and rules of the game)||Originality,2018-11-18 05:00:00,Lentsius||iFire Games||irmoz||Bakenshake,Godot Wild Jam #3,106,147,15,2018-11-09 05:00:00,https://www.itch.io/jam/godot-wild-jam-3,y
Overall||Playability||Music||Sounds||Story/Narrative||Artwork||Overall||Challenge Theme||Challenge Art,2017-07-28 23:00:00,chasersgaming,OpenGameArt Game Jam,106,82,15,2017-06-30 23:00:00,https://www.itch.io/jam/opengame-art-game-jam,y
Overall||Enjoyment||Gameplay||Style||Concept||Giant Bombitude,2017-02-06 04:59:59,Alex Zandra,Giant ROM 4,106,525,46,2017-01-28 01:00:00,https://www.itch.io/jam/giantrom4,y
BEST GAME (General)||BEST GAME (Host's Choice)||SCARIEST GAME||BEST THEME (Best Use of Theme),2019-03-03 23:00:00,SCREAM CATALOGUE||Caveware Digital,SCREAMWORLD,106,179,26,2019-02-21 23:00:00,https://www.itch.io/jam/screamworld,y
,2016-06-26 23:00:00,emshort,Bring Out Your Dead,109,0,77,2016-06-17 23:00:00,https://www.itch.io/jam/bring-out-your-dead,u
"Overall||Use of theme ""One Minute""||Fun||Art/Graphics||Sound/Music",2018-03-01 08:00:00,egordorichev||trelemar,Fantasy Console Game Jam #3,106,121,27,2018-02-15 08:00:00,https://www.itch.io/jam/fantasy-console-game-jam-3,y
Overall||Gameplay||Graphics||Music||Sound||Polish||Overall,2018-11-01 04:59:59,with the love studios,The Fall All-OGA Game Jam! 2018,106,262,21,2018-10-01 05:00:00,https://www.itch.io/jam/fall-all-oga-game-jam-2018,y
Overall||Fun||Theme||Visuals||Audio||Innovation,2019-01-04 00:00:00,CitybuilderStudios,Save the Environment Game Jam 2018-2019!,107,74,19,2018-12-27 00:00:00,https://www.itch.io/jam/save-the-environment,y
,2019-09-29 21:00:00,StandOffSoftware,$103 Adventure Game Challenge,110,0,15,2019-09-15 21:00:00,https://www.itch.io/jam/103-adventure-game-challenge,u
,2018-07-02 15:59:59,Rémi Töötätä,The Pen & Paper Game Jam,110,0,29,2018-06-26 16:00:00,https://www.itch.io/jam/the-pen-paper-game-jam,u
Overall||Overall||Respect of the limitations||Graphics||Sound||Game Design,2018-11-05 05:00:00,ZahranW||Mini Jam Official,Mini Jam 14 -Elements-,108,225,25,2018-11-02 04:00:00,https://www.itch.io/jam/mini-jam-14-elements-,y
,2019-02-16 05:00:00,Choko,☆Space Bunny Jam☆,111,0,25,2019-02-02 05:00:00,https://www.itch.io/jam/space-bunny-jam,u
Overall||Gameplay||Art||Audio||Presentation,2019-05-06 05:00:00,ZahranW,Mini Jam 27: Celebration,108,132,26,2019-05-03 05:00:00,https://www.itch.io/jam/mini-jam-27-celebration,y
Overall||Pixel Art||Fun||Mechanics||Fits the jams theme,2018-03-19 05:00:00,ManuGamesDev||PixelWeekendJam,Pixel Weekend Jam #2,108,439,31,2018-03-16 15:00:00,https://www.itch.io/jam/pixel-weekend-jam-2,y
Overall,2019-05-27 22:59:59,liamsorta,GameDevNetwork - Book Jam,109,0,24,2019-05-16 23:00:00,https://www.itch.io/jam/game-dev-network-book-jam,y
Overall||Overall||Art||Design||Sound||Theme||Story/Narrative,2019-05-21 04:59:59,TigerJ,TigerJ(am) #2,109,146,25,2019-05-11 16:00:00,https://www.itch.io/jam/tigerjam-2,y
,2019-03-14 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 87,112,0,30,2019-03-08 17:00:00,https://www.itch.io/jam/weekly-game-jam-87,u
,2018-12-01 04:59:59,"Alex Zandra||Sparklingnurse||Ashlyn, Goth cat hugger",Light Novelber 2018,114,0,29,2018-11-01 04:00:00,https://www.itch.io/jam/lightnovelber2018,u
,2018-02-12 08:00:00,GameDevsQuest,GDQ One Mechanic Game Jam 3,114,0,40,2018-02-09 08:00:00,https://www.itch.io/jam/omgjam3,u
Overall||Theme Creativity||Object Creativity||Enjoyment||Kick-Ass Game Name||Sound||Visuals||Gameplay,2017-07-03 12:00:00,TairaGames,Dev Squad Jam,110,314,31,2017-06-30 12:00:00,https://www.itch.io/jam/dev-squad-jam,y
,2016-12-05 05:30:00,elvaq||zerofiftyone||DINOSAURSSSSSSSS||Spencer Winson,Wizard Jam 4,114,0,60,2016-11-19 20:00:00,https://www.itch.io/jam/wizard-jam-4,u
,2018-10-01 04:59:59,Empish,Ren'Py Jam,115,0,28,2018-09-15 05:00:00,https://www.itch.io/jam/renpy-jam,u
Overall||Gameplay||Originality||Presentation,2016-06-16 07:00:00,Clickteam,#IWantToCreate Contest,111,1052,26,2016-06-03 07:00:00,https://www.itch.io/jam/iwanttocreate,y
The gameplay (how fun it is and how it fits into the genre)||The quality||The design,2018-08-10 03:00:00,🌸Colleen🌸,FloppyJam,111,130,25,2018-07-20 03:00:00,https://www.itch.io/jam/floppyjam,y
,2019-02-15 23:59:59,Sophie Houlden,Tomb Raider Jam,116,0,8,2018-10-14 23:00:00,https://www.itch.io/jam/tomb-raider-jam,u
Overall||Fun/Usefulness||Innovation||Technical||Audio||Graphics,2019-07-11 16:00:00,Joshua McLean,Anything Goes Jam [8 Bits to Infinity],112,0,31,2019-07-04 16:00:00,https://www.itch.io/jam/anything-goes-jam-8-bits-to-infinity,y
Overall||Fun Factor||Theme Relevance||Originality,2017-06-12 05:59:59,liamsorta,GameDevNetwork: Blueberry Jam,113,245,20,2017-06-02 23:00:00,https://www.itch.io/jam/game-dev-network-blueberry-jam,y
Cool Rating,2016-12-05 02:00:00,Lo-Fi||TWTdip||debugdrawray,Cool Jams Inc - A Cool Games Inc Game Jam,113,158,23,2016-12-03 02:00:00,https://www.itch.io/jam/cool-jams-inc,y
Overall||Gameplay||Art||Sounds||Respect of the theme,2018-12-31 05:00:00,ZahranW,Mini Jam 18: Dreams,113,346,32,2018-12-28 05:00:00,https://www.itch.io/jam/mini-jam-18-dreams,y
,2019-01-14 06:01:00,eevee,GAMES MADE QUICK??? III,116,0,35,2019-01-06 16:30:00,https://www.itch.io/jam/games-made-quick-iii,u
,2019-07-11 17:00:00,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 104,117,0,26,2019-07-05 17:00:00,https://www.itch.io/jam/weekly-game-jam-104,u
Overall,2019-03-07 17:00:00,Joshua McLean,8 Bits to Infinity ~ Platformer Week,114,0,37,2019-03-01 17:00:00,https://www.itch.io/jam/platformer-week,y
Overall||Gameplay||Art||Audio||Presentation,2019-04-22 04:59:59,ZahranW||Mini Jam Official,Mini Jam 26: Storms,115,152,23,2019-04-19 04:59:59,https://www.itch.io/jam/mini-jam-26-storms,y
Overall||Gameplay||Graphics||Sound||Mood,2018-02-20 02:00:00,Sheepolution||rxi,LÖVE Jam 2018,115,286,30,2018-02-17 02:00:00,https://www.itch.io/jam/love2d-jam-2018,y
